trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
144,False,"{'a': 0.4504322045682982, 'e': 0.9008644091365964}",25,0,-116.00663464097548,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
145,False,"{'a': 0.4497795478988252, 'e': 0.8995590957976504}",25,0,-73.49185020765772,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
146,False,"{'a': 0.44912334562210504, 'e': 0.8982466912442101}",25,3,-129.34495832871775,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 3}",1
147,False,"{'a': 0.44846361602544504, 'e': 0.8969272320508901}",20,0,-125.18802129666466,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
148,False,"{'a': 0.44780037747512313, 'e': 0.8956007549502463}",20,0,-4.158006536377484,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
149,False,"{'a': 0.4471336484155378, 'e': 0.8942672968310756}",30,0,-124.94377836047855,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
150,False,"{'a': 0.4464634473683554, 'e': 0.8929268947367108}",20,0,-38.569090544534376,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
151,False,"{'a': 0.4457897929316547, 'e': 0.8915795858633094}",20,12,-48.21208643907952,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 1}",1
152,False,"{'a': 0.4451127037790691, 'e': 0.8902254075581382}",30,0,-176.58309968267994,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
153,False,"{'a': 0.444432198658926, 'e': 0.888864397317852}",25,0,-84.59041323672554,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 0}",0
154,False,"{'a': 0.4437482963933844, 'e': 0.8874965927867688}",20,0,-80.07004113632178,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
155,False,"{'a': 0.44306101587756924, 'e': 0.8861220317551385}",25,0,-114.41931340917951,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",0
156,False,"{'a': 0.44237037607870416, 'e': 0.8847407521574083}",25,0,-87.80171562407142,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 0}",0
157,False,"{'a': 0.4416763960352419, 'e': 0.8833527920704838}",30,0,-29.232451964304282,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
158,False,"{'a': 0.4409790948559919, 'e': 0.8819581897119838}",25,0,-174.06737250487825,"{0: 12, 1: 1, 2: 10, 3: 0, 4: 2}",0
159,False,"{'a': 0.44027849171924655, 'e': 0.8805569834384931}",30,11,-170.80085046484245,"{0: 8, 1: 3, 2: 5, 3: 0, 4: 3}",1
160,False,"{'a': 0.4395746058719048, 'e': 0.8791492117438096}",25,9,-68.98848642031813,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 2}",1
161,False,"{'a': 0.43886745662859383, 'e': 0.8777349132571877}",20,0,-69.56724466504772,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
162,False,"{'a': 0.43815706337078913, 'e': 0.8763141267415783}",20,12,-19.001145699310335,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
163,False,"{'a': 0.4374434455459319, 'e': 0.8748868910918638}",30,0,-149.13487601389576,"{0: 15, 1: 4, 2: 10, 3: 0, 4: 1}",0
164,False,"{'a': 0.4367266226665452, 'e': 0.8734532453330904}",25,0,-93.35721001988247,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
165,False,"{'a': 0.4360066143093483, 'e': 0.8720132286186966}",25,0,-143.18973695300582,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",1
166,False,"{'a': 0.4352834401143686, 'e': 0.8705668802287372}",30,11,-0.564835524337526,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
167,False,"{'a': 0.43455711978405276, 'e': 0.8691142395681055}",25,0,-133.2035676062572,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
168,False,"{'a': 0.4338276730823754, 'e': 0.8676553461647508}",25,0,-176.69324002658,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
169,False,"{'a': 0.4330951198339468, 'e': 0.8661902396678935}",20,0,-118.33373889345401,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
170,False,"{'a': 0.4323594799231184, 'e': 0.8647189598462368}",20,0,-75.19164967418615,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
171,False,"{'a': 0.4316207732930878, 'e': 0.8632415465861756}",25,0,-114.28301726193332,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
172,False,"{'a': 0.43087901994500133, 'e': 0.8617580398900027}",30,0,-83.001745672482,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
173,False,"{'a': 0.43013423993705574, 'e': 0.8602684798741115}",20,2,-33.51729800439741,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 0}",1
174,False,"{'a': 0.42938645338359865, 'e': 0.8587729067671973}",20,0,-75.1710541937851,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
175,False,"{'a': 0.42863568045422756, 'e': 0.8572713609084551}",25,0,-69.99196904602123,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
176,False,"{'a': 0.4278819413728876, 'e': 0.8557638827457752}",20,0,-108.42654712976251,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
177,False,"{'a': 0.42712525641696847, 'e': 0.8542505128339369}",25,18,-10.066851210396642,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
178,False,"{'a': 0.42636564591639986, 'e': 0.8527312918327997}",20,7,-22.383925718966776,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
179,False,"{'a': 0.4256031302527463, 'e': 0.8512062605054926}",20,0,26.663513104071242,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
180,False,"{'a': 0.42483772985830065, 'e': 0.8496754597166013}",25,0,-102.65358339157454,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
181,False,"{'a': 0.42406946521517674, 'e': 0.8481389304303535}",25,0,-80.37934624873209,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
182,False,"{'a': 0.42329835685440137, 'e': 0.8465967137088027}",20,13,-23.581222241586037,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
183,False,"{'a': 0.42252442535500534, 'e': 0.8450488507100107}",25,5,-53.27248780435627,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",1
184,False,"{'a': 0.4217476913431137, 'e': 0.8434953826862274}",25,0,-111.82315861404591,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
185,False,"{'a': 0.4209681754910354, 'e': 0.8419363509820708}",20,0,-16.26118316101103,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
186,False,"{'a': 0.42018589851635224, 'e': 0.8403717970327045}",35,0,-76.91338422671816,"{0: 27, 1: 2, 2: 4, 3: 1, 4: 1}",0
187,False,"{'a': 0.4194008811810073, 'e': 0.8388017623620146}",25,3,-99.98004351582046,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 2}",1
188,False,"{'a': 0.4186131442903927, 'e': 0.8372262885807854}",25,0,-16.773397190986785,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
189,False,"{'a': 0.41782270869243704, 'e': 0.8356454173848741}",30,12,4.643585901469687,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
190,False,"{'a': 0.4170295952766924, 'e': 0.8340591905533848}",30,0,-219.2775695496708,"{0: 17, 1: 2, 2: 7, 3: 0, 4: 4}",0
191,False,"{'a': 0.41623382497342104, 'e': 0.8324676499468421}",30,0,-252.48156761979243,"{0: 11, 1: 6, 2: 8, 3: 2, 4: 3}",0
192,False,"{'a': 0.4154354187526814, 'e': 0.8308708375053628}",25,17,-6.196989256224952,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
193,False,"{'a': 0.4146343976234147, 'e': 0.8292687952468294}",25,0,-129.2261988477114,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
194,False,"{'a': 0.41383078263253015, 'e': 0.8276615652650603}",30,2,-105.18251795307457,"{0: 19, 1: 0, 2: 7, 3: 1, 4: 1}",1
195,False,"{'a': 0.4130245948639912, 'e': 0.8260491897279824}",25,0,-59.48290687728824,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
196,False,"{'a': 0.4122158554379009, 'e': 0.8244317108758018}",35,0,-105.87638685799416,"{0: 23, 1: 4, 2: 7, 3: 0, 4: 1}",0
197,False,"{'a': 0.4114045855095877, 'e': 0.8228091710191754}",25,0,-59.91717147385234,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
198,False,"{'a': 0.41059080626869093, 'e': 0.8211816125373819}",20,0,-120.81510054441449,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
199,False,"{'a': 0.4097745389382466, 'e': 0.8195490778764932}",25,0,-190.58519654490132,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
200,False,"{'a': 0.4089558047737734, 'e': 0.8179116095475468}",20,0,-124.34993375036852,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
201,False,"{'a': 0.4081346250623585, 'e': 0.816269250124717}",30,5,-47.79336087642983,"{0: 18, 1: 5, 2: 1, 3: 0, 4: 1}",1
202,False,"{'a': 0.4073110211217439, 'e': 0.8146220422434878}",20,0,-93.26099989424355,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
203,False,"{'a': 0.4064850142994132, 'e': 0.8129700285988264}",30,0,-61.8019774196854,"{0: 23, 1: 2, 2: 3, 3: 2, 4: 0}",0
204,False,"{'a': 0.4056566259716784, 'e': 0.8113132519433568}",25,0,-17.39357604046335,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
205,False,"{'a': 0.4048258775427673, 'e': 0.8096517550855346}",20,0,27.08926270262786,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
206,False,"{'a': 0.4039927904439112, 'e': 0.8079855808878224}",30,12,-104.90846049447197,"{0: 10, 1: 4, 2: 2, 3: 0, 4: 2}",1
207,False,"{'a': 0.4031573861324334, 'e': 0.8063147722648668}",35,0,-74.51575996709875,"{0: 26, 1: 1, 2: 7, 3: 0, 4: 1}",0
208,False,"{'a': 0.40231968609083807, 'e': 0.8046393721816761}",20,0,-60.73958759102392,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
209,False,"{'a': 0.4014797118258997, 'e': 0.8029594236517994}",20,0,-110.65954118546661,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
210,False,"{'a': 0.4006374848677533, 'e': 0.8012749697355066}",25,0,-174.2377850123464,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 4}",0
